AlbertPark;au-1953;0316;330.0;240.0;Australia;0.061;8.0;10.0;c;70;50;0;44;93;198;131;a;135;485;a070;337;186;a130;
Bahrain;bh-2002;0413;242.1;310.0;Bahrain;0.069;28.0;9.55;c;70;50;0;22;69;16;263;a;431;388;a220;262;195;a050;
BakuCity;az-2016;0921;238.9;320.0;Azerbaijan;0.1121;4.0;12.7;a;5;65;25;56;0;460;372;a;165;177;a230;50;0;a110;
Catalunya;es-1991;0601;190.0;328.0;Spain;0.11;5.0;8.9;c;70;50;0;43;96;394;277;a;85;194;a040;413;400;a030;
EnzoEDinoFerrari;it-1953;0518;199.9;330.0;Italy;0.0855;30.0;10.0;a;70;50;22;55;83;43;96;a;209;247;a260;393;441;a030;
GillesVilleneuve;ca-1978;0615;120.0;340.0;Canada;0.118;5.0;10.0;c;70;50;0;37;73;419;138;a;116;121;a090;164;431;a090;
HermanosRodríguez;mx-1962;1026;91.0;300.0;Mexico;0.0665;3.2;22.0;c;70;50;0;24;67;91;490;a;392;74;a240;71;357;a160;
Hungaroring;hu-1986;0803;207.0;335.0;Hungary;0.113;2.0;27.0;c;70;50;123;102;38;278;84;a;442;113;a220;259;358;a050;
JeddahCorniche;sa-2021;0420;228.1;309.0;Saudi_Arabia;0.075;2.7;9.5;a;70;50;0;49;116;370;115;a;200;429;a090;179;184;a320;
JoseCarlosPace;br-1940;1109;145.0;257.0;Brazil;0.056;18.0;10.0;a;70;50;0;34;130;49;141;a;475;284;a070;294;418;a060;
LasVegas;us-2023;1123;72.0;330.0;USA_Nevada;0.088;37.0;8.5;a;70;50;0;15;34;422;29;a;386;320;a000;222;485;a150;
Lusail;qa-2004;1130;243.2;0307.0;Qatar;0.115;12.0;9.0;c;70;50;105;33;83;211;8;a;284;448;a220;479;216;a300;
MarinaBay;sg-2008;1005;290.4;284.0;Singapore;0.0423;3.0;25.0;a;70;50;114;82;34;482;392;a;178;385;a330;118;215;a260;
Miami;us-2022;0504;105.0;313.0;USA_Florida;0.102;15.0;10.5;a;70;50;92;77;33;194;448;a;483;459;a180;25;84;a000;
Monaco;mc-1929;0525;195.1;330.0;Monaco;0.11;26.0;9.5;c;70;50;122;73;7;0;175;a;36;221;a250;394;483;a040;
Monza;it-1922;0907;197.6;329.0;Italy;0.0855;30.0;10.0;c;70;50;122;77;33;3;111;a;160;275;a270;185;463;a000;
RedBullRing;at-1969;0629;202.7;336.0;Austria;0.109;2.0;27.0;c;70;50;0;14;49;333;52;a;28;436;a150;141;301;a310;
Shanghai;cn-2004;0323;307.6;309.0;China;0.096;3.0;20.0;c;70;50;0;45;94;133;52;a;27;233;a110;231;391;a130;
Silverstone;gb-1948;0706;187.1;341.0;United_Kingdom;0.081;38.0;11.0;c;70;50;132;34;106;190;489;a;408;173;a230;196;437;a160;
SpaFrancorchamps;be-1925;0727;193.6;340.0;Belgium;0.118;3.5;10.0;c;70;50;152;30;104;165;432;a;490;127;a290;27;43;a150;
Suzuka;jp-1962;0406;328.2;325.0;Japan;0.19;15.0;11.0;c;70;50;171;61;134;383;333;a;251;232;a230;106;331;a340;
theAmericas;us-2012;1019;95.0;320.0;USA_Texas;0.075;15.0;10.0;a;70;50;163;106;55;5;244;a;197;344;a310;294;326;a310;
YasMarina;ae-2009;1207;246.7;308.0;United_Arab_Emirates;0.105;5.0;11.0;a;70;50;115;26;70;0;0;a;0;0;b;0;0;c;
Zandvoort;nl-1948;0831;193.0;344.0;Netherlands;0.111;20.0;11.0;c;70;50;0;34;88;0;0;a;0;0;b;0;0;c;
